latitude,longitude,Reverse_Geocoded_Address,StretNumber,StreetName,City,State,ZipCode
17.965981,-66.174677,"900 Cll L, Patillas, PR 00723",900,Cll L,Patillas,PR,00723
17.966047,-66.055345,"86 Cll I, Arroyo, PR 00714",86,Cll I,Arroyo,PR,00714
17.966074,-66.054002,"86 Cll I, Arroyo, PR 00714",86,Cll I,Arroyo,PR,00714
17.966075,-66.908547,"6 Cll C, Guanica, PR 00653",6,Cll C,Guanica,PR,00653
17.966084,-66.113142,"32 Cll 53, Patillas, PR 00723",32,Cll 53,Patillas,PR,00723
17.9662153,-66.0612101,"54 Cll San Marcos, Arroyo, PR 00714",54,Cll San Marcos,Arroyo,PR,00714
17.96622175,-66.30384541,"12 Cll F, Salinas, PR 00751",12,Cll F,Salinas,PR,00751
17.96623,-66.169319,"900 Cll L, Patillas, PR 00723",900,Cll L,Patillas,PR,00723
17.9662587,-66.12107,"19 Cll 15, Patillas, PR 00723",19,Cll 15,Patillas,PR,00723
17.966294,-66.122476,"15 Cll 8, Patillas, PR 00723",15,Cll 8,Patillas,PR,00723
17.9663454,-66.2863893,"35 Cll Sierra, Salinas, PR 00751",35,Cll Sierra,Salinas,PR,00751
17.966381,-66.202007,"269 Pr- 3, Patillas, PR 00723",269,Pr- 3,Patillas,PR,00723
17.9664,-66.1018,"244 Cll 5, Patillas, PR 00723",244,Cll 5,Patillas,PR,00723
17.966452,-66.1236781,"15 Cll 8, Patillas, PR 00723",15,Cll 8,Patillas,PR,00723
17.966468,-66.397137,"26 Pr- 541, Santa Isabel, PR 00757",26,Pr- 541,Santa Isabel,PR,00757
17.966518,-66.120491,"19 Cll 15, Patillas, PR 00723",19,Cll 15,Patillas,PR,00723
17.9665288,-66.11814,"23 Cll 53, Patillas, PR 00723",23,Cll 53,Patillas,PR,00723
17.9665677,-66.2877012,"52 Cll Sierra, Salinas, PR 00751",52,Cll Sierra,Salinas,PR,00751
17.9665741,-66.0560177,"66 Cll H, Arroyo, PR 00714",66,Cll H,Arroyo,PR,00714
17.966577,-66.055847,"66 Cll H, Arroyo, PR 00714",66,Cll H,Arroyo,PR,00714
17.9665783,-66.1184096,"23 Cll 53, Patillas, PR 00723",23,Cll 53,Patillas,PR,00723
17.966584,-66.12188,"15 Cll 8, Patillas, PR 00723",15,Cll 8,Patillas,PR,00723
17.966605,-66.1697162,"900 Cll L, Patillas, PR 00723",900,Cll L,Patillas,PR,00723
17.96662541,-66.16944607,"900 Cll L, Patillas, PR 00723",900,Cll L,Patillas,PR,00723
17.9667138,-66.118716,"19 Cll 15, Patillas, PR 00723",19,Cll 15,Patillas,PR,00723
17.9667323,-66.0610938,"54 Cll San Marcos, Arroyo, PR 00714",54,Cll San Marcos,Arroyo,PR,00714
17.9667664,-66.1228335,"15 Cll 8, Patillas, PR 00723",15,Cll 8,Patillas,PR,00723
17.966793,-66.055145,"86 Cll I, Arroyo, PR 00714",86,Cll I,Arroyo,PR,00714
17.966981,-66.123864,"15 Cll 8, Patillas, PR 00723",15,Cll 8,Patillas,PR,00723
17.9669954,-66.118141,"6 Cll 42, Patillas, PR 00723",6,Cll 42,Patillas,PR,00723
